,Base,RandomSample,Agglomerative,RandomParameters
F1,12.146413803100586,18.321016550064087,9.64525318145752,9.153825759887695
F2,9.860909700393677,20.97820234298706,11.541068077087402,11.180574417114258
F3,13.242429494857788,24.798226833343506,13.24644660949707,12.905625820159912
F4,11.343526363372803,21.568283319473267,11.49220895767212,11.680597305297852
F5,9.559351205825806,18.16640830039978,10.078484535217285,9.434921503067017
F6,16.615558385849,32.00853776931763,18.79172372817993,17.76760721206665
F7,34.65659952163696,54.68374276161194,32.47637486457825,31.886521577835083
F8,19.373603582382202,32.526098012924194,18.655575275421143,17.908729076385498
F9,28.44732928276062,48.6651668548584,28.6494243144989,27.51266598701477
F20,40.467459201812744,65.8384850025177,41.48874545097351,41.4040470123291
F21,54.93077087402344,82.20133399963379,55.98552227020264,55.76946425437927
F22,65.99490404129028,93.05183386802673,67.2643551826477,65.5845193862915
F23,50.14751625061035,77.07136106491089,50.412275314331055,50.12389898300171
F24,59.52886486053467,86.3649640083313,60.60185170173645,59.32754039764404
F25,88.56166648864746,114.56296610832214,90.57621097564697,88.83040857315063
F26,93.82809376716614,119.843013048172,94.16748809814453,93.32390975952148
F27,84.25428557395935,107.92151618003845,83.54161310195923,83.10701942443848
